;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
572;;Jamila;2.177;;Caspar;1.792
573;;Lieve;2.171;;Sami;1.789
574;;Nicoline;2.160;;Serge;1.788
575;;Sigrid;2.156;;Dominique;1.787
576;;Joanne;2.152;;August;1.786
577;;Margo;2.146;;Wilfred;1.786
578;;Selina;2.145;;Gustaaf;1.782
579;;Fiene;2.144;;Senn;1.781
580;;Fien;2.144;;Milo;1.774
581;;Aya;2.141;;Chiel;1.772
582;;Arendina;2.137;;Harmannus;1.760
583;;Meryem;2.137;;Axel;1.759
584;;Ria;2.136;;Diego;1.753
585;;Hilligje;2.126;;Gertjan;1.745
586;;Anje;2.126;;Maximiliaan;1.744
587;;Suus;2.122;;Alwin;1.739
588;;Sabina;2.122;;Mustapha;1.738
589;;Bibi;2.117;;Abdullah;1.734
590;;Charissa;2.113;;Mason;1.732
591;;Jozina;2.107;;Jouke;1.720
592;;Esra;2.106;;Renzo;1.717
593;;Helene;2.104;;Kelvin;1.709
594;;Audrey;2.092;;Gabriël;1.702
595;;Eefje;2.092;;Robbin;1.699
596;;Dieuwke;2.086;;Merlijn;1.691
597;;Diane;2.071;;Aiden;1.687
598;;Alie;2.071;;Matthew;1.682
599;;Evelyn;2.067;;Berry;1.678
600;;Aimée;2.061;;Adolf;1.665
601;;Ruby;2.055;;Timotheus;1.661
602;;Yasmin;2.051;;Heinrich;1.656
603;;Victoria;2.050;;Harald;1.652
604;;Annika;2.044;;Aalt;1.652
605;;Mariëtte;2.043;;Sten;1.649
606;;Sylvana;2.038;;Mischa;1.648
607;;Huberdina;2.038;;Govert;1.647
608;;Emilie;2.022;;Romano;1.645
609;;Desiree;2.007;;Sepp;1.640
610;;Alyssa;2.005;;Bouke;1.639
611;;Constance;1.996;;Luka;1.638
612;;Elize;1.996;;Quincy;1.635
613;;Juliëtte;1.995;;José;1.627
614;;Madeleine;1.990;;Gradus;1.621
615;;Zahra;1.986;;Richardus;1.614
616;;Joan;1.982;;Sep;1.612
617;;Katja;1.981;;Ravi;1.605
618;;Juul;1.981;;Maik;1.588
619;;Eliza;1.980;;Huub;1.586
620;;Karina;1.976;;Fatih;1.584
621;;Clazina;1.975;;Rudolphus;1.580
622;;Lize;1.974;;Rafael;1.579
623;;Faye;1.973;;Lucien;1.576
624;;Rachida;1.973;;Etienne;1.574
625;;Liselotte;1.968;;Ezra;1.571
626;;Jane;1.964;;Bradley;1.571
627;;Mirella;1.962;;Roderick;1.568
628;;Els;1.962;;Guillaume;1.562
629;;Annabel;1.950;;Seth;1.554
630;;Ana;1.944;;Bo;1.554
631;;Imane;1.938;;Christoffel;1.552
632;;Apolonia;1.923;;Lesley;1.546
633;;Erika;1.920;;Friso;1.545
634;;Lijntje;1.920;;Yasin;1.542
635;;Jennigje;1.913;;Arne;1.541
